Hours,ADX,MACD,Signal Line,Histogram,%K,%D,Open,High,Low,Close,Output
0,0.0,0.0,0.0,0.0,0.0,0.0,3866.2,3868.0,3831.35,3847.01,-1.0
1,0.0,0.0,0.0,0.0,0.0,0.0,3847.01,3862.0,3843.01,3845.0,-1.0
2,0.0,0.0,0.0,0.0,0.0,0.0,3845.0,3855.0,3841.0,3851.0,1.0
3,0.0,0.0,0.0,0.0,0.0,0.0,3851.88,3878.0,3847.09,3865.0,1.0
4,0.0,0.0,0.0,0.0,0.0,0.0,3865.17,3870.0,3855.01,3856.84,-1.0
5,0.0,0.0,0.0,0.0,0.0,0.0,3856.02,3864.0,3850.97,3863.33,1.0
6,0.0,0.0,0.0,0.0,0.0,0.0,3863.51,3875.0,3860.51,3874.07,1.0
7,0.0,0.0,0.0,0.0,0.0,0.0,3874.07,3875.98,3863.0,3869.51,-1.0
8,0.0,0.0,0.0,0.0,0.0,0.0,3866.0,3876.78,3861.57,3861.77,-1.0
9,0.0,0.0,0.0,0.0,0.0,0.0,3864.0,3868.45,3856.51,3863.16,-1.0
10,0.0,0.0,0.0,0.0,0.0,0.0,3863.07,3865.99,3855.0,3862.27,1.0
11,0.0,0.0,0.0,0.0,0.0,0.0,3863.25,3865.0,3850.0,3856.0,-1.0
12,0.0,0.0,0.0,0.0,0.0,0.0,3856.07,3858.02,3850.0,3855.99,-1.0
13,0.0,0.0,0.0,0.0,67.2240085745,0.0,3855.39,3870.06,3852.0,3862.71,1.0
14,0.0,0.0,0.0,0.0,69.5675675676,0.0,3863.52,3868.98,3860.1,3866.74,1.0
15,0.0,0.0,0.0,0.0,47.2162162162,0.0,3867.22,3868.0,3856.7,3858.47,-1.0
16,0.0,0.0,0.0,0.0,18.1494661922,0.0,3858.53,3860.0,3851.0,3852.7,-1.0
17,0.0,0.0,0.0,0.0,37.714712472,0.0,3852.38,3863.8,3850.22,3860.1,1.0
18,0.0,0.0,0.0,0.0,34.353995519,0.0,3860.39,3861.75,3853.82,3859.2,-1.0
19,0.0,0.0,0.0,0.0,84.9452269171,0.0,3859.8,3881.95,3859.8,3877.14,1.0
20,0.0,0.0,0.0,0.0,92.0,0.0,3875.89,3885.0,3873.67,3882.2,1.0
21,0.0,0.0,0.0,0.0,81.2938113359,0.0,3882.84,3949.86,3882.08,3931.18,1.0
22,0.0,0.0,0.0,0.0,57.1700380533,0.0,3930.0,3930.46,3890.0,3907.09,-1.0
23,0.0,0.0,0.0,0.0,73.2024834769,0.0,3907.89,3924.8,3899.96,3923.1,1.0
24,0.0,0.0,0.0,0.0,63.70919287,0.0,3922.2,3925.0,3905.1,3913.62,-1.0
25,0.0,22.0546722341,0.0,0.0,62.8680152213,0.0,3914.68,3916.24,3910.39,3912.78,-1.0
26,0.0,20.4301927451,0.0,0.0,44.3396226415,0.0,3914.0,3915.08,3882.02,3894.4,-1.0
27,49.0597085046,19.194259325,0.0,0.0,47.7318346046,59.553882647,3891.72,3905.98,3888.0,3897.78,1.0
28,47.9112159178,18.2640635192,0.0,0.0,50.9634684866,58.1615845062,3896.75,3904.0,3894.0,3901.0,1.0
29,46.9418828663,17.1667982751,0.0,0.0,48.9462063428,56.8327202862,3901.0,3906.0,3895.55,3898.99,-1.0
30,46.0417878899,16.2798035879,0.0,0.0,51.0638297872,56.9562910095,3899.57,3904.55,3897.1,3901.1,1.0
31,44.4662235529,15.0140407579,0.0,0.0,44.2003331945,59.3073169806,3901.12,3902.66,3890.0,3896.27,-1.0
32,43.0031995258,14.0546648568,0.0,0.0,43.3266711082,59.7705756036,3895.86,3899.9,3894.03,3898.82,1.0
33,41.8442408267,13.0734482407,17.2813270602,-4.20787881948,31.8676991731,60.4114810028,3898.82,3902.93,3895.0,3897.95,-1.0
34,39.7218038555,12.3998061827,16.3050228847,-3.90521670202,27.9923349057,56.6202290211,3897.04,3902.96,3885.0,3901.01,1.0
35,37.9797246946,11.8759007961,15.419198467,-3.54329767089,42.9603633361,52.048252943,3901.1,3906.0,3898.1,3902.83,-1.0
36,35.8832137985,10.9033150853,14.5160217906,-3.61270670537,35.9702187064,49.3101495144,3901.01,3905.97,3893.32,3897.48,-1.0
37,33.9040722431,9.66127995473,13.5450734234,-3.88379346872,25.5932992089,47.7958767039,3897.48,3899.6,3893.0,3893.02,-1.0
38,31.5592956023,8.30764810084,12.4975883589,-4.18994025809,22.2384570427,44.3952206848,3893.03,3898.0,3888.0,3889.63,-1.0
39,30.9404840724,5.50673826545,11.0994183402,-5.59268007478,6.11246943765,41.4330252685,3889.33,3891.95,3866.0,3869.0,-1.0
40,30.7189432319,3.41546431162,9.56262753451,-6.14716322289,23.9215686275,37.3790577126,3869.0,3884.95,3860.1,3871.08,1.0
41,30.5132267372,1.42617031005,7.93533608962,-6.50916577957,15.4030501089,35.920625283,3871.14,3876.6,3866.19,3867.17,-1.0
42,32.5663022641,-3.21508476594,5.70525191851,-8.92033668444,23.495049505,33.6114263904,3866.56,3868.79,3805.0,3828.73,-1.0
43,34.4727295392,-6.68472809025,3.22725591676,-9.911984007,25.1089108911,31.6493964632,3828.86,3835.0,3807.01,3830.36,1.0
44,34.9900309989,-8.70789903561,0.840224926282,-9.54812396189,32.7920792079,29.9467325023,3830.34,3850.0,3825.01,3838.12,1.0
45,35.4703823544,-10.6819742887,-1.46421491671,-9.21775937199,26.7326732673,28.641607461,3836.3,3845.88,3825.1,3832.0,-1.0
46,35.574102603,-10.8385064752,-3.3390732284,-7.49943324675,42.4752475248,27.3939174662,3832.17,3849.99,3829.1,3847.9,1.0
47,35.6075567512,-11.4981427298,-4.97088712868,-6.5272556011,34.2772277228,27.3331014959,3848.07,3850.72,3837.0,3839.62,-1.0
48,36.0958518862,-12.7358846076,-6.52388662445,-6.21199798311,23.702970297,27.505210678,3839.45,3842.97,3825.27,3828.94,-1.0
49,37.4668826958,-15.3114842599,-8.28140615154,-7.03007810833,11.6013217826,27.1988274917,3828.92,3830.74,3794.0,3806.99,-1.0
50,38.7399827333,-16.4457405771,-9.91427303665,-6.53146754045,20.7196969697,24.9588959522,3807.0,3822.91,3801.0,3815.88,1.0
51,38.408451574,-15.4614030413,-11.0236990376,-4.4377040037,41.3557692308,23.869572971,3815.24,3842.0,3807.04,3837.01,1.0
52,38.1006012118,-15.4888149088,-11.9167222118,-3.57209269695,31.4344053088,24.9954636868,3837.22,3842.0,3820.28,3824.79,-1.0
53,38.0121550798,-15.9081397063,-12.7150057107,-3.19313399556,25.9373282023,25.6523171344,3825.9,3832.0,3815.0,3817.59,-1.0
54,37.9300265287,-15.7035863173,-13.312721832,-2.3908644853,33.8983050847,27.0683784747,3817.84,3826.0,3817.46,3822.0,1.0
55,37.8537643027,-15.3819152996,-13.7265605255,-1.65535477406,37.144003209,27.7810025074,3821.93,3826.0,3818.0,3821.78,-1.0
56,38.0742263013,-15.6550002253,-14.1122484655,-1.54275175982,33.4978843441,29.3339277288,3820.01,3823.78,3811.04,3813.0,-1.0
57,38.3453329825,-15.5461636261,-14.3990314976,-1.14713212847,36.6889985896,30.0484159316,3812.15,3824.08,3809.44,3814.81,-1.0
58,38.7438776581,-15.1425319472,-14.5477315875,-0.594800359657,39.8095909732,30.875565053,3811.41,3822.01,3805.98,3816.58,1.0
59,39.1139548568,-14.73908796,-14.586002862,-0.153085098015,37.9231311707,31.3768158933,3816.23,3821.52,3810.3,3815.51,-1.0
60,38.8317477739,-13.3400467968,-14.336811649,0.996764852194,58.1452750353,32.176134315,3814.76,3826.99,3814.76,3826.98,1.0
61,37.8470836641,-12.568945637,-13.9832384466,1.41429280958,55.135797427,33.2954219943,3826.99,3833.74,3816.0,3821.0,-1.0
62,37.3446680272,-12.5889781114,-13.7043863795,1.11540826815,36.2083333333,34.7853198303,3821.0,3821.21,3809.02,3811.38,-1.0
63,36.8781392216,-12.1684453992,-13.3971981835,1.22875278429,34.2682926829,35.6785600472,3811.96,3820.0,3810.48,3815.05,1.0
64,36.4750734676,-11.8000115603,-13.0777608588,1.27774929856,21.7101610217,37.2976293972,3815.21,3816.7,3810.0,3813.8,-1.0
65,34.6575286928,-10.3757399023,-12.5373566675,2.1616167652,56.5519156024,37.3683768295,3814.29,3830.0,3813.0,3826.35,1.0
66,32.4187252638,-9.24930780676,-11.8797468954,2.63043908862,63.3788737088,38.4538158561,3829.32,3835.99,3823.0,3825.0,-1.0
67,30.4250496383,-8.06592872554,-11.1169832614,3.05105453587,71.5428190603,40.7355635989,3825.39,3828.91,3822.0,3827.45,1.0
68,28.3711313129,-7.04366957387,-10.3023205239,3.25865095004,71.676107964,43.9930986602,3827.13,3831.01,3822.07,3827.49,1.0
69,27.0932759091,-7.15644465932,-9.67314535099,2.51670069167,30.1566144618,46.6915131516,3827.47,3828.13,3815.0,3815.03,-1.0
70,26.2549379641,-6.49954257915,-9.03842479662,2.53888221747,57.8807064312,46.1924139554,3815.02,3823.65,3810.78,3823.35,1.0
71,25.3335635821,-6.38943932456,-8.50862770221,2.11918837765,37.8873708764,47.9340441044,3823.7,3824.92,3811.0,3817.35,-1.0
72,24.4780016559,-5.89292607011,-7.98548737579,2.09256130568,46.5702632555,48.0196421249,3817.0,3823.99,3812.01,3821.58,1.0
73,23.7973045087,-4.52656467623,-7.29370283588,2.76713815965,66.6203446359,48.5025472879,3823.35,3845.0,3820.77,3832.99,1.0
74,23.1652285863,-3.97164831719,-6.62929193214,2.65764361495,46.8593663146,50.5523482497,3833.0,3834.2,3824.68,3825.88,-1.0
75,22.7253734266,-3.08319079011,-5.92007170373,2.83688091363,61.0894941634,49.7462119126,3826.0,3836.0,3825.0,3831.0,1.0
76,22.3169364926,-2.48279596644,-5.23261655627,2.74982058983,55.3142857143,50.1714759652,3830.51,3834.79,3826.0,3829.36,-1.0
77,22.1065584557,-1.77430662064,-4.54095456915,2.7666479485,62.8285714286,51.5361868495,3830.15,3836.67,3829.03,3831.99,1.0
78,22.3432759263,-0.429201787093,-3.71860401274,3.28940222564,90.1811805961,53.5762067599,3832.55,3841.64,3831.5,3841.64,1.0
79,23.2004338367,0.700543615685,-2.83477448705,3.53531810274,80.9535951045,58.4669938724,3839.82,3850.0,3839.0,3842.53,1.0
80,23.9963661821,1.63831515785,-1.94015655807,3.57847171592,82.891381948,60.2099709797,3844.26,3845.95,3839.0,3843.29,1.0
81,24.8751590237,2.49316961217,-1.05349132402,3.54666093619,87.3278939317,61.6037215682,3845.24,3847.8,3841.88,3845.03,1.0
82,25.783938779,3.12813341983,-0.217166375253,3.34529979508,87.1239163692,62.7312269161,3846.0,3849.0,3842.01,3844.95,-1.0
83,24.9108067198,3.3498499823,0.496236896257,2.85361308604,79.4492605813,63.8346418022,3845.55,3849.45,3830.44,3841.94,-1.0
