Hours,ADX,MACD,Signal Line,Histogram,%K,%D,Open,High,Low,Close,Output
0,0.0,0.0,0.0,0.0,0.0,0.0,4035.85,4043.38,4033.21,4037.73,1.0
1,0.0,0.0,0.0,0.0,0.0,0.0,4036.88,4038.05,4025.0,4027.54,-1.0
2,0.0,0.0,0.0,0.0,0.0,0.0,4027.02,4029.0,4019.16,4025.0,-1.0
3,0.0,0.0,0.0,0.0,0.0,0.0,4025.0,4033.8,4015.1,4017.01,-1.0
4,0.0,0.0,0.0,0.0,0.0,0.0,4017.01,4032.8,4011.11,4024.29,1.0
5,0.0,0.0,0.0,0.0,0.0,0.0,4024.26,4029.15,4021.36,4024.92,1.0
6,0.0,0.0,0.0,0.0,0.0,0.0,4024.94,4125.33,4022.2,4124.87,1.0
7,0.0,0.0,0.0,0.0,0.0,0.0,4125.31,4130.0,4093.0,4100.3,-1.0
8,0.0,0.0,0.0,0.0,0.0,0.0,4100.93,4109.58,4087.01,4095.94,-1.0
9,0.0,0.0,0.0,0.0,0.0,0.0,4095.92,4104.53,4083.56,4095.03,-1.0
10,0.0,0.0,0.0,0.0,0.0,0.0,4095.91,4095.91,4075.86,4084.23,-1.0
11,0.0,0.0,0.0,0.0,0.0,0.0,4084.79,4101.97,4080.47,4094.98,1.0
12,0.0,0.0,0.0,0.0,0.0,0.0,4094.98,4098.0,4080.0,4084.98,-1.0
13,0.0,0.0,0.0,0.0,64.6227605349,0.0,4084.98,4091.8,4082.1,4087.94,1.0
14,0.0,0.0,0.0,0.0,65.7414416688,0.0,4087.9,4089.99,4086.02,4089.27,1.0
15,0.0,0.0,0.0,0.0,74.8002355118,0.0,4089.46,4112.45,4087.74,4100.04,1.0
16,0.0,0.0,0.0,0.0,74.7665909664,0.0,4100.4,4106.0,4095.56,4100.0,-1.0
17,0.0,0.0,0.0,0.0,70.1825216587,0.0,4100.0,4107.24,4094.2,4094.55,-1.0
18,0.0,0.0,0.0,0.0,65.9701767305,0.0,4097.52,4098.0,4089.1,4093.03,-1.0
19,0.0,0.0,0.0,0.0,63.7847866419,0.0,4092.11,4098.0,4089.0,4090.96,1.0
20,0.0,0.0,0.0,0.0,42.6856298485,0.0,4093.97,4099.0,4090.49,4098.97,1.0
21,0.0,0.0,0.0,0.0,55.2336704017,0.0,4094.0,4100.0,4088.53,4096.07,1.0
22,0.0,0.0,0.0,0.0,40.3388904072,0.0,4098.75,4099.92,4090.62,4090.62,-1.0
23,0.0,0.0,0.0,0.0,41.3774255261,0.0,4090.03,4094.27,4090.0,4091.0,1.0
24,0.0,0.0,0.0,0.0,50.7858243451,0.0,4091.0,4099.0,4090.7,4096.48,1.0
25,0.0,12.9840509808,0.0,0.0,77.1032357473,0.0,4096.48,4110.98,4095.32,4105.02,1.0
26,0.0,13.9671884368,0.0,0.0,55.4743365644,0.0,4105.5,4145.03,4104.0,4117.01,1.0
27,49.8679073349,10.1070575155,0.0,0.0,31.1071048103,60.2048233253,4117.04,4124.0,4023.0,4060.96,-1.0
